scenario_id,event_type,track_id,object_type,confidence,video_time_seconds
S01_BASIC_GOODS,A_TO_B,1,moving_object,0.8493589743589745,8.44
S01_BASIC_GOODS,A_TO_B,2,moving_object,0.868493543758967,10.76
S01_BASIC_GOODS,B_TO_A,3,moving_object,0.8344402433010027,15.2
S02_OCCLUSION_REVERSAL,A_TO_B,1,moving_object,0.8341011235955056,12.44
S02_OCCLUSION_REVERSAL,B_TO_A,2,moving_object,0.8211251758087201,18.64
S02_OCCLUSION_REVERSAL,A_TO_B,3,moving_object,0.865281045751634,20.28
S03_DENSE_CROSSING,A_TO_B,1,moving_object,0.8041691306918983,13.24
S03_DENSE_CROSSING,A_TO_B,2,moving_object,0.8211516853932584,14.0
S03_DENSE_CROSSING,B_TO_A,3,moving_object,0.6,14.6
S03_DENSE_CROSSING,B_TO_A,4,moving_object,0.6,15.48
S03_DENSE_CROSSING,A_TO_B,5,moving_object,0.844259331008653,19.12
S04_DWELL_QUEUE,QUEUE_THRESHOLD,occupancy,queue,1.0,7.72
S04_DWELL_QUEUE,QUEUE_THRESHOLD,occupancy,queue,1.0,10.12
S04_DWELL_QUEUE,DWELL_THRESHOLD,1,moving_object,0.8326876513317192,13.8
S04_DWELL_QUEUE,DWELL_THRESHOLD,2,moving_object,0.8481770833333333,17.0
S04_DWELL_QUEUE,A_TO_B,1,moving_object,0.8241880341880342,18.16
S04_DWELL_QUEUE,DWELL_THRESHOLD,3,moving_object,0.772844827586207,20.24
S04_DWELL_QUEUE,A_TO_B,2,moving_object,0.8413279132791328,21.28
S04_DWELL_QUEUE,A_TO_B,3,moving_object,0.8053586862575627,24.28
